Image Name,Average Value,Standard Deviation
1734630826IR51024WFOV_UNBINNED.png,202.125,19.276817764480732
1734630685IR51024WFOV_UNBINNED.png,200.9677734375,18.69596214456933
1734630757IR51024WFOV_UNBINNED.png,201.1396484375,19.252461040770964
1734630698IR51024WFOV_UNBINNED.png,201.3720703125,18.370249205442374
1734630655IR51024WFOV_UNBINNED.png,201.61328125,19.318437077268918
1734630792IR51024WFOV_UNBINNED.png,201.6513671875,18.034974108646466
1734630818IR51024WFOV_UNBINNED.png,202.6181640625,18.849986067749054
1734630774IR51024WFOV_UNBINNED.png,201.412109375,19.95458931206145
1734630629IR51024WFOV_UNBINNED.png,200.7392578125,19.075338449137874
1734630672IR51024WFOV_UNBINNED.png,201.548828125,19.570823872903485
1734630642IR51024WFOV_UNBINNED.png,201.87109375,18.989228658734692
1734630722IR51024WFOV_UNBINNED.png,201.2216796875,19.48418526147937
1734630708IR51024WFOV_UNBINNED.png,201.46875,19.398700222244273
1734630809IR51024WFOV_UNBINNED.png,201.6357421875,18.80385837224724
1734630740IR51024WFOV_UNBINNED.png,201.1015625,18.854330505446057
1734630800IR51024WFOV_UNBINNED.png,200.4501953125,17.893823675869363
