Image Name,Average Value,Standard Deviation
1734630774C5MJPG3072P.jpeg,87.12615966796875,2.8272856571978653
1734630818C5MJPG3072P.jpeg,87.3328857421875,3.021291239606549
1734630642C5MJPG3072P.jpeg,86.51409912109375,2.942552410977056
1734630655C5MJPG3072P.jpeg,87.1435546875,2.9134692695323348
1734630629C5MJPG3072P.jpeg,86.19573974609375,2.964854173177056
1734630800C5MJPG3072P.jpeg,86.70391845703125,3.173555478049343
1734630672C5MJPG3072P.jpeg,86.66412353515625,3.0366482197515596
1734630708C5MJPG3072P.jpeg,86.716796875,2.985519429417222
1734630809C5MJPG3072P.jpeg,86.780029296875,2.9160539607947404
1734630757C5MJPG3072P.jpeg,86.95135498046875,2.916503982250162
1734630792C5MJPG3072P.jpeg,86.593017578125,3.0019346098865576
1734630685C5MJPG3072P.jpeg,86.362548828125,3.1411930064030114
1734630740C5MJPG3072P.jpeg,86.3751220703125,3.027688989950002
1734630722C5MJPG3072P.jpeg,86.553955078125,3.0577959698604036
1734630698C5MJPG3072P.jpeg,86.735595703125,3.0804500319018384
1734630826C5MJPG3072P.jpeg,86.63507080078125,3.2040308200708387
